id,category,description,size,price
166465,ARGENTINA,Gouguenheim Winery Valle Escondido Cabernet Sauvignon,750ML,9.19
351314,VODKA,Haku Japanese Vodka,750ML,21.99
355812,BOURBON/RYE,Sagamore / Sierra Nevada Distiller's Select Rye Ale Barrel Finish Straight Rye Whiskey,750ML,64.99
53970,VODKA,Effen Vodka,750ML,25.99
37613,VODKA,Stolichnaya Razberi Vodka,1L,24.99
413577,AMERICAN WHITE,Sean Minor Four Bears Chardonnay,750ML,14.99
310876,ARGENTINA,Bodega Vistalba Tomero Malbec,750ML,14.69
71827,VODKA,Beluga Gold Line Noble Vodka,750ML,111.99
70164,VODKA,Dry Fly Vodka,750ML,37.99
86150,KOSHER,Baron Herzog Chenin Blanc,750ML,10.99
45840,AMERICAN RED,Larkmead Vineyards Cabernet Sauvignon,750ML,66.99
337107,AMERICAN RED,Sutter Home Winery Sweet Red Merlot,187ML,1.89
74713,AUSTRALIA,Yellow Tail Casella Chardonnay,750ML,6.99
38008,RUM,Cruzan Aged Dark Rum,1.75L,22.99
86037,AMERICAN TABLE,Richards Wine Company Wild Irish Rose Rare White Blend,375ML,2.79
351452,MISCELLANEOUS IMPORTED,Shinju Japanese Whisky,750ML,54.99
25983,DOMESTIC BOTTLE,Omission Pale Ale - 6 Pack,12.0Z,9.99
71810,MIXERS,Daily's Strawberry Daiquiri Frozen Cocktails,1L,3.99
12135,CORDIALS,Ezra Brooks Bourbon Cream Liqueur,750ML,12.99
42083,SPAIN/PORTUGAL,Bodegas y Vinedos Montecastro y Llanahermosa Tempranillo,750ML,43.99
82556,AMERICAN RED,Snap Dragon Red Zinfandel,750ML,8.99
320096,CHAMPAGNE/SPARKLING,Soleil Mimosa Classic,750ML,11.49
47279,PORT/SHERRY/DESSERT/VERMOUTH,W & J Graham's 10 Years Old Tawny Red Port,750ML,44.99
17515,CHAMPAGNE/SPARKLING,Saint Hilaire Brut Estate Bottled Blanquette de Limoux Sparkling Blend,750ML,12.99
87327,AMERICAN RED,Robert Mondavi Winery Private Selection Zinfandel,750ML,14.49
85893,ARGENTINA,Gallo Family Vineyards / Gallo of Sonoma Pink Moscato Muscat,187ML,1.79
73086,IRISH WHISKEY,Bushmills Red Bush Irish Whiskey,750ML,25.99
5932,IMPORTED BOTTLE,Modelo Especial - 6 Pack,12.0Z,9.99
73475,VODKA,Firefly Sweet Tea Vodka,1L,23.99
30511,GIN,Burnett's White Satin Gin,1.75L,16.99
335776,AMERICAN TABLE,The Prisoner Wine Company Saldo Zinfandel,750ML,27.99
37842,VODKA,Grey Goose Vodka,1L,42.99
3450,DOMESTIC BOTTLE,Miller Lite - 12 Pack,12.0Z,12.99
90204,DOMESTIC BOTTLE,Michelob Ultra - 12 Pack,12.0Z,15.99
47397,VODKA,Smirnoff Mango Vodka,375ML,7.69
73148,AUSTRALIA,Lindemans Cawarra Shiraz,1.5L,15.99
345828,KOSHER,Elvi Wines Vina Encina Blanco Rare White Blend,750ML,11.99
44931,AUSTRALIA,Henry's Drive Pillar Box Shiraz,750ML,18.99
84707,CHAMPAGNE/SPARKLING,Moet & Chandon Imperial Reserve Brut Champagne,750ML,60.99
336354,OTHER WINE,K Cellars Merlot,750ML,8.99
19975,DOMESTIC CAN,Narragansett Del's Shandy - 6 Pack,16.0Z,9.99
48281,VODKA,Zachlawi Sweet Potato Vodka,750ML,29.99
240868,PORT/SHERRY/DESSERT/VERMOUTH,CAPITOLINE DRY VERMOUTH   750ML,750ML,39.99
234898,ITALY,Donnafugata SurSur Grillo,750ML,25.99
45229,FRANCE,Jean Luc Colombo Cape Bleue Rose Red Southern Rhone Blend,750ML,14.99
303258,OTHER WINE,Aiko Grand Moscato Red Muscat,750ML,12.49
24945,AMERICAN WHITE,Groth Sauvignon Blanc,750ML,28.99
166266,CANADIAN/BLENDED WHISKEY,Cask & Crew Ginger Spice Rye Whiskey,750ML,27.99
43787,ASIA,Tozai Living Jewel Junmai Sake,720ML,22.99
302453,OTHER WINE,Momokawa Moonstone Coconut Lemongrass Sake,720ML,15.49
412511,SPAIN/PORTUGAL,Bodegas y Vinedos Shaya Verdejo,750ML,14.99
31179,DOMESTIC CAN,Yuengling Traditional Lager Can - 6 Pack,16.0Z,7.99
330458,CHAMPAGNE/SPARKLING,Villa M Bianco Muscat,750ML,17.99
41351,BRANDY/COGNAC/GRAPPA,Raynal VSOP Rare Old French Brandy,750ML,13.49
318264,AMERICAN WHITE,De Loach Heritage Reserve Chardonnay,750ML,13.49
44798,OTHER WINE,Vedi Alco Mardik Pomegranate Semi dry Red Red Blend,750ML,13.49
82510,NEW ZEALAND,Cloud No. 9 Estate Sauvignon Blanc,750ML,17.69
42064,CORDIALS,Bols Triple Sec Liqueur 76 Proof,1L,7.99
235344,AMERICAN RED,Groth Cabernet Sauvignon,750ML,57.99
310947,ITALY,Podere Canneta Fiore Rosso Toscana IGT Sangiovese,750ML,13.49
306516,AUSTRALIA,Yalumba The Y Series Rose Sangiovese,750ML,12.99
44564,ITALY,Perlage Vino Frizzante Organic Riva Moretta Prosecco di Conegliano Valdobbiadene Glera,750ML,22.99
41418,SPAIN/PORTUGAL,Condado de Haza Crianza Tempranillo,750ML,24.99
51047,MIXERS,Bacardi Zombie Cocktail,1.75L,17.49
311511,VODKA,Cassinelli Jen's Vodka,750ML,46.99
34436,VODKA,Three Olives Vodka,1.75L,28.99
309770,ITALY,CANTELLE SALICE SALENTINO RES,750ML,12.99
329369,FRANCE,Hob Nob Vineyards Wicked Red Limited Edition Red Blend,750ML,12.39
13305,DOMESTIC CAN,CIGAR CITY SPANISH CEDAR JAI ALAI 6/4 CANS - 4 Pack,12.0Z,11.99
70512,SCOTCH,The Glenlivet Founder's Reserve Single Malt Scotch Whisky,750ML,41.99
69914,DOMESTIC CAN,BROOKEVILLE PREVAILING WINDS 6/4 16OZ CANS - 4 Pack,16.0Z,13.99
72466,SCOTCH,The BenRiach 10 Year Old Single Malt Scotch Whisky,750ML,55.99
338972,AMERICAN RED,Silver Creek Vineyard Cabernet Sauvignon,750ML,11.49
339106,PORT/SHERRY/DESSERT/VERMOUTH,Barao de Vilar Maynard's Red Port,750ML,55.99
49832,NEW ZEALAND,Cloudy Bay Chardonnay,750ML,30.99
80997,AMERICAN RED,Storypoint Vineyards Cabernet Sauvignon,750ML,17.39
336527,AMERICAN BLUSH/ROSE,Union Wine Company Underwood Rose Can Pinot Gris,750ML,17.49
41747,NEW ZEALAND,Oyster Bay Merlot,750ML,16.99
387380,AMERICAN RED,Black Ridge Vineyards Private Stock Cabernet Sauvignon,750ML,8.99
42767,FRANCE,Domaine Paul Autard Cotes du Rhone Red Southern Rhone Blend,750ML,16.39
40260,AMERICAN RED,McManis Family Vineyards Cabernet Sauvignon,750ML,13.99
10159,IMPORTED BOTTLE,BITBURGER FESTBIER 4/6 NR - 6 Pack,11.2Z,12.99
318506,RUM,Ron Abuelo Anejo 12 Anos Gran Reserva Rum,750ML,48.99
40438,SCOTCH,The Glenlivet 12 Year Old Single Malt Scotch Whisky,50ML,3.99
70298,TEQUILA,Casa Dragones Joven Tequila,750ML,289.99
42249,AMERICAN RED,Sebastiani Vineyards & Winery Secolo Bordeaux Blend,750ML,30.99
84840,AMERICAN TABLE,Taylor Lake Country Red Blend,1.5L,7.99
92037,DOMESTIC CAN,Miller Genuine Draft Can - 24 Pack,12.0Z,25.99
91618,IMPORTED BOTTLE,Presidente Cerveza - 6 Pack,12.0Z,9.99
98345,IMPORTED BOTTLE,Shandy Carib Sorrel Imported Lager Beer - 6 Pack,12.0Z,11.99
69525,IMPORTED CAN,KOSTRITZER PALE 6/4 16OZ CANS - 4 Pack,16.0Z,10.99
237248,ITALY,Donna Laura Alteo Riserva Chianti DOCG Sangiovese,750ML,15.99
82457,AMERICAN RED,Dancing Bull Winemaker's Reserve Zinfandel,750ML,11.39
84705,AMERICAN RED,Cocobon Zinfandel,750ML,8.99
325997,KOSHER,Baron Herzog Pink Pinot Grigio,750ML,11.99
330943,AMERICAN RED,Three Rivers Winery Cabernet Sauvignon,750ML,18.99
350720,AMERICAN RED,Lapis Luna Cabernet Sauvignon,750ML,14.99
241464,SPECIALTY,99 Root Beer Liqueur 50ML,50ML,0.99
342110,KOSHER,Herzog Late Harvest Orange Muscat,375ML,11.99
63343,DOMESTIC BOTTLE,TROEGS FIELD STUDY IPA 4/6 NR - 6 Pack,12.0Z,10.99
90010,COOLERS,Verdi Peach Sparkletini,25.4Z,6.99
72230,AUSTRALIA,Lindemans Bin 45 Cabernet Sauvignon,750ML,8.99
41823,SPAIN/PORTUGAL,Bodegas Juan Gil Monastrell,750ML,17.99
240894,BRANDY/COGNAC/GRAPPA,D'Usse XO Cognac,750ML,149.99
74772,SCOTCH,Dalmore 12 Year Old Highland Single Malt Scotch Whisky,750ML,69.99
80314,PORT/SHERRY/DESSERT/VERMOUTH,Taylor Wine Company Dry Sherry,3L,19.99
429761,SPAIN/PORTUGAL,Casa Agricola Alexandre Relvas Ciconia Portuguese White Blend,750ML,6.99
242196,SPECIALTY,Tobacco Barn Straight Bourbon Whiskey,750ML,57.99
18546,CORDIALS,Ouzo Of Plomari Isidoros Arvanitis,750ML,18.99
44296,CORDIALS,John D. Taylor's Velvet Falernum Liqueur,750ML,21.99
35670,VODKA,Gordon's Vodka,1.75L,16.99
11457,VODKA,Red Eye Louie's Vodquila,750ML,25.99
51161,COOLERS,SMIRNOFF RED WHITE & BERRY SELTZER 2/12PK 12OZ CAN - 12 Pack,12.0Z,18.99
70311,VODKA,Purus Organic Wheat Vodka,750ML,17.99
338912,AMERICAN RED,Rabble Force of Nature Rare Red Blend,750ML,21.99
36770,DOMESTIC CAN,WHITE CLAW BLACK CHERRY 6/4 16OZ CAN - 4 Pack,16.0Z,8.99
42240,ITALY,Castello di Volpaia Chianti Classico DOCG Sangiovese,750ML,29.99
312420,PORT/SHERRY/DESSERT/VERMOUTH,Inniskillin Icewine Vidal,375ML,57.99
60259,FRANCE,B&G CHARD,750ML,11.99
70584,RUM,Calico Jack Coconut Rum,1.75L,16.99
166723,MIXERS,Bittermilk No.1 Bourbon Barrel Aged Old Fashioned  Mixer 5 Pack,2.5Z,12.49
76868,MIXERS,Finest Call Peach Puree Mix,1L,5.79
65790,ITALY,Fontana Candida Secco Frascati Superiore Malvasia Bianca,1.5L,13.39
239698,AUSTRALIA,19 Crimes Red Wine Shiraz,187ML,3.99
57045,FRANCE,Famille Perrin / Perrin & Fils Reserve Cotes du Rhone Red Southern Rhone Blend,750ML,11.49
373168,ARGENTINA,Familia Zuccardi Serie A Malbec,750ML,16.69
26184,COOLERS,Angry Orchard Green Apple Hard Cider - 6 Pack,12.0Z,9.49
381993,AMERICAN RED,TWISTED CAB,750ML,7.39
426854,SPAIN/PORTUGAL,Octave Albarino,750ML,5.99
46398,CANADIAN/BLENDED WHISKEY,Crown Royal Black Blended Canadian Whisky,750ML,31.99
70373,VODKA,Old Barrel Handcrafted Vodka,750ML,24.99
21482,FRANCE,Marcel Langoux Pouilly Fume Sauvignon Blanc,750ML,25.99
340882,RUM,Papa's Pilar Dark Rum,750ML,46.99
70442,VODKA,Seacrets Orange Vodka,750ML,22.99
89001,AMERICAN RED,CK Mondavi Wildcreek Canyon Cabernet Sauvignon,1.5L,14.49
40803,GERMANY,Selbach Salmo Salar (Fish Label) Qualitatswein Dry Riesling,750ML,15.49
306715,OTHER WINE,Hana Fuji Apple Flavored Sake,750ML,10.99
38628,TEQUILA,Sauza Conmemorativo Anejo Tequila,750ML,18.69
65765,VODKA,Absolut Vodka,200ML,8.99
309673,FRANCE,Jeanne Gaillard Marsanne,750ML,15.99
72117,AUSTRALIA,Greg Norman Australia Estates Cabernet Sauvignon,750ML,14.99
69816,DOMESTIC CAN,ALLAGASH RIVER TRIP 2/12 CANS - 12 Pack,12.0Z,20.99
408948,CHAMPAGNE/SPARKLING,Domaine Haut Marin Les Fossiles Sauvignon Blanc,750ML,11.99
94161,DOMESTIC BOTTLE,Miller Genuine Draft - 24 Pack,12.0Z,32.99
68842,DOMESTIC BOTTLE,Epic Big Bad Baptist Peanut Butter Cup,22.0Z,20.99
40379,ARGENTINA,Domaine de la Presidente 1 instant 2 plaisir Cotes du Rhone Red Blend,750ML,11.99
321808,ARGENTINA,Liberty Creek Winemaker's Selection Moscato Muscat,1.5L,9.99
11843,BOURBON/RYE,Kentucky Gentleman Kentucky Bourbon Whiskey,750ML,7.69
340941,NEW ZEALAND,Louis Vavasour Awatere River Pinot Noir,750ML,21.99
51029,DOMESTIC CAN,FLYING DOG THUNDERPEEL HAZY IPA 4/6PK 12OZ CAN - 6 Pack,12.0Z,10.99
28231,SCOTCH,Johnnie Walker Red Label Blended Scotch Whisky,1.75L,40.99
320020,CHILE,Sweet Bitch Smooth & Fruity Cabernet Sauvignon,750ML,7.99
30600,VODKA,CiROC Snap Frost Vodka,750ML,31.99
312376,SPAIN/PORTUGAL,Casal Garcia Vinho Tinto Touriga Nacional,750ML,8.99
322140,OTHER WINE,Amre Frutti Pineapple Moscato Muscat,750ML,9.99
177741,FRANCE,Patient Cottat Le Grand Caillou Sauvignon Blanc,750ML,14.99
341274,SOUTH AFRICA,RAATS CH/BLC ORIGINAL UNWOODED,750ML,15.99
320438,SOUTH AFRICA,Seven Sisters Twena Rose Pinotage,750ML,11.99
45049,AMERICAN WHITE,Sutter Home Winery Moscato Muscat,187ML,1.89
335160,ITALY,TRE BACI BIANCO IGT VENETO 14,750ML,7.59
45142,SPAIN/PORTUGAL,Bodegas Volver Paso a Paso Tempranillo,750ML,10.99
339560,SPAIN/PORTUGAL,Roquevale OSSA Castelao,750ML,7.69
45074,AMERICAN RED,Horton Vineyards Rojo XOCO Rare Red Blend,500ML,18.49
70110,BOURBON/RYE,Jim Beam Jacob's Ghost White Whiskey,750ML,18.99
328918,SPAIN/PORTUGAL,Bodegas Frutos Villar Muruve Crianza Tempranillo,750ML,17.49
10117,DOMESTIC CAN,TROEGS LUCKY HOLLER HAZY IPA 4/6 CANS - 6 Pack,12.0Z,10.99
7838,DOMESTIC BOTTLE,FLYING DOG VARIETY PACK 2/12 NR - 12 Pack,12.0Z,18.99
341103,CHILE,Senor Sangria Classic White Sauvignon Blanc,1.5L,16.49
387479,AMERICAN RED,Rosenblum Cellars Zinfandel,750ML,37.99
322866,AMERICAN RED,Frey Vineyards Biodynamic Field Blend Merlot,750ML,22.99
310398,AMERICAN RED,Seaglass Pinot Noir,750ML,13.99
308310,AMERICAN RED,Garnet Pinot Noir,750ML,15.69
81155,CHILE,TerraNoble Sauvignon Blanc,750ML,10.99
73321,VODKA,OC Distilling Co. Orange Vodka,750ML,18.99
49992,AMERICAN WHITE,Canyon Road Chardonnay,1.5L,12.69
55476,MIXERS,Jose Cuervo Golden Strawberry Margarita,1.75L,14.49
362476,OTHER WINE,Santiago Queirolo Rose Shiraz,750ML,11.49
63339,AMERICAN WHITE,Kistler Chardonnay,750ML,79.99
232138,AMERICAN RED,Michael David Vineyards Freakshow Red Rare Red Blend,750ML,22.99
62618,ALSACE,"Hugel & fils ""Hugel"" Gewurztraminer",750ML,26.99
322069,AMERICAN RED,Oak Ridge Winery OVZ Old Vine Zinfandel,750ML,12.99
302982,AMERICAN WHITE,Chill Out Vineyards Pinot Grigio,750ML,4.79
27774,SCOTCH,Vat 69 Gold Blended Scotch Whisky,1.75L,28.99
166673,AMERICAN WHITE,Josh Cellars Reserve Chardonnay,750ML,17.99
80768,CHAMPAGNE/SPARKLING,Oko Prosecco Glera,750ML,13.49
26637,DOMESTIC CAN,DC Brau The Public Pale Ale - 6 Pack,12.0Z,11.99
166346,AMERICAN RED,Gnarly Head 1924 Limited Edition Double Black Cabernet Sauvignon,750ML,12.49
331461,ARGENTINA,Bodega Sottano Classico Cabernet Sauvignon,750ML,11.49
86756,PORT/SHERRY/DESSERT/VERMOUTH,Taylor (Fladgate) Fine Tawny Red Port,750ML,18.99
300547,RUM,Cruzan Tropical Fruit Rum,750ML,10.99
355790,ITALY,Il Conte Stella Rosa Watermelon Muscat,750ML,14.99
335678,FRANCE,Domaine de Chateau Pigoudet Cuvee Pigoudet Premiere Coteaux d'Aix en provence Rare White Blend,750ML,17.99
15989,AMERICAN RED,Carlo Rossi Sangria Red Blend,4L,18.99
56430,DOMESTIC CAN,Omission Ultimate Light Golden Ale - 6 Pack,12.0Z,9.99
47338,GERMANY,GRAN FASSIAN SPAT,750ML,22.99
318478,SOUTH AFRICA,"Indaba ""Mosaic"" Bordeaux Blend",750ML,9.99
93017,DOMESTIC BOTTLE,Anderson Valley Boont Amber Ale - 6 Pack,12.0Z,15.99
238930,BOURBON/RYE,MAKER'S MARK PRIVATE SEL EXCLUSIVE FOR MOCO   750ML,750ML,61.99
308588,BRANDY/COGNAC/GRAPPA,Daron Fine Calvados,750ML,49.99
333926,TEQUILA,Azunia Organic Reposado Tequila,1L,62.99
75841,AMERICAN RED,Black Box Cabernet Sauvignon,3L,24.99
341997,FRANCE,Chateau Barade Bordeaux Blend,3LTR,36.99
84680,AMERICAN RED,Ferrari Carano Cabernet Sauvignon,750ML,24.99
309406,AMERICAN RED,The Dreaming Tree Crush Merlot,750ML,15.49
159719,KOSHER,Alfasi Cabernet Sauvignon,750ML,8.49
308388,ITALY,La Fortuna Brunello di Montalcino Sangiovese,750ML,51.99
55310,MIXERS,Jose Cuervo Margarita Classic Lime Ready to Serve,750ML,9.49
309079,FRANCE,Chateau La Mothe du Barry Bordeaux Superieur Merlot,750ML,15.49
70971,AMERICAN RED,Seghesio Family Vineyards Old Vines Zinfandel,750ML,50.99
156736,ASIA,Shao Xing Huadew Chinese Rice Wine,750ML,8.99
42387,CORDIALS,Barbayanni Blue Bottle Ouzo,750ML,19.99
431001,AMERICAN RED,NxNW The Explorer Series Cabernet Sauvignon,750ML,24.99
68910,DOMESTIC BOTTLE,SLY FOX INSCRUTABLE EXHORTATIONS DIPA 6/4 16OZ CAN - 4 Pack,16.0Z,8.99
59650,,STORE SPECIAL WINE 500 ML,500ML,0.15
49347,VODKA,Burnett's Whipped Cream Vodka,1.75L,15.49
89211,AUSTRALIA,The Little Penguin Pinot Grigio,750ML,9.49
310379,AMERICAN RED,Hangtime Cellars Pinot Noir,750ML,15.99
84559,ITALY,Rosatello Rose Sweet Rare Rose Blend,750ML,12.49
310078,NEW ZEALAND,Fire Road Pinot Noir,750ML,20.99
239518,TEQUILA,Ilegal Reposado Mezcal,750ML,49.99
122866,ITALY,SAN VALENTINO P/GRIG,750ML,13.69
45276,CORDIALS,Hiram Walker Kirschwasser Cocktail Mixers,200ML,4.99
400750,GERMANY,Sun Garden Riesling,750ML,11.99
13870,KOSHER,Bartenura Ovadia Estate Bottled Chianti DOCG Sangiovese,750ML,15.99
70535,SCOTCH,The Glenlivet Master Distiller's Reserve Single Malt Whiskey,375ML,27.99
311806,CHAMPAGNE/SPARKLING,Rotari Brut Rose Trento Pinot Nero,750ML,16.99
335578,SPAIN/PORTUGAL,Calcada Lago Cerqueira Portuguese White Blend,750ML,11.99
89591,AMERICAN TABLE,Peter Vella Delicious Red Rare Red Blend,5L,15.99
88102,AMERICAN TABLE,Livingston Cellars Red Rose Blend,3L,14.99
38903,RUM,Captain Morgan Original Spiced Rum,375ML,10.39
70188,CORDIALS,Ricura Horchata Cream Liqueur,750ML,16.99
389142,ITALY,Castelli del Grevepesa The Sopranos Chianti Classico DOCG Chianti Blend,750ML,12.69
41817,AUSTRALIA,Mollydooker Carnival of Love Shiraz,750ML,103.99
307818,KOSHER,Morad Winery Pomegranate Wine Red Blend,750ML,22.99
160237,FRANCE,Domaine Thomas & Fils La Crele Sancerre Sauvignon Blanc,750ML,20.99
335690,ITALY,Tenuta Sette Ponti Oreno Toscana IGT Bordeaux Blend,750ML,99.99
428515,AMERICAN RED,Tomasello Winery Cherry Wine Red Blend,500ML,10.99
43990,PORT/SHERRY/DESSERT/VERMOUTH,Ramos Pinto Fine Ruby Estate Grown Red Port,750ML,22.99
338037,AMERICAN RED,Rock Wall Wine Co. Estate Pinot Noir,750ML,25.99
302255,FRANCE,Domaine Le Pas de l'Escalette Les Clapas Terrasses du Larzac Red Southern Rhone Blend,750ML,29.99
162744,ITALY,Trambusti Badiolo Riserva Chianti DOCG Sangiovese,750ML,13.49
362158,FRANCE,Louis Latour Domaine de Valmoissine Pinot Noir,750ML,18.99
78147,TEQUILA,Roca Patron Silver Tequila,750ML,66.99
309096,MIXERS,Regans' Orange No. 6 Bitters,5.0Z,6.59
118516,FRANCE,Societe Cooperative Castelmaure Col des Vents Corbieres Red Southern Rhone Blend,750ML,9.49
46633,SPAIN/PORTUGAL,Altovinum Evodia Garnacha,750ML,13.99
11374,CORDIALS,C&L Cristiani Etrusco Liqueur,750ML,25.99
234322,ITALY,Collemattoni Brunello di Montalcino DOCG Sangiovese,750ML,43.99
78590,KOSHER,Laurent Perrier Maison Fondee 1812 Brut Champagne,750ML,57.99
336876,ITALY,Branizzi Pinot Nero,750ML,10.99
315266,BOURBON/RYE,Filibuster Dual Cask Finished Straight Bourbon Whiskey,750ML,35.99
51527,ARGENTINA,Bodega Catena Zapata Catena Alta Historic Rows Malbec,750ML,43.99
23320,DOMESTIC BOTTLE,Sierra Nevada Torpedo Extra IPA - 6 Pack,12.0Z,9.99
74700,SCOTCH,The Dalmore 25 Year Old Highland Single Malt Scotch Whisky,750ML,1317.99
90333,DOMESTIC BOTTLE,Michelob Ultra Lime Cactus - 6 Pack,12.0Z,10.99
300588,AUSTRALIA,Jacob's Creek Classic Moscato Muscat,750ML,9.49
84484,AMERICAN WHITE,Glen Ellen Reserve Chardonnay,750ML,5.99
76708,AUSTRALIA,Fisheye Pinot Grigio,3L,19.99
73989,ITALY,Candoni Made with Organic Grapes Veneto IGT Pinot Grigio,750ML,12.99
93321,DOMESTIC BOTTLE,Abita Restoration Pale Ale - 24 Pack,12.0Z,47.99
166610,AMERICAN WHITE,Capriccio Sangria White Blend,750ML,11.99
325773,AMERICAN RED,Auspicion Cabernet Sauvignon,750ML,11.39
166291,RUM,Cruzan Black Strap Rum,750ML,18.39
68694,SCOTCH,Glen Moray Classic Sherry Cask Finish Speyside Single Malt Scotch Whisky,750ML,30.99
97616,IMPORTED BOTTLE,Dos Equis Lager Especial - 6 Pack,12.0Z,8.99
81809,AMERICAN BLUSH/ROSE,Peter Vella Delicious Blush Rose Blend,5L,15.99
434477,AUSTRALIA,St. Kilda Shiraz,750ML,10.49
69173,DOMESTIC CAN,SCHLAFLY NEIPA 4/6 CANS - 6 Pack,12.0Z,14.99
330199,OTHER WINE,Franz Mittelbach Rose Tegernseerhof Zweigelt,750ML,12.69
43450,CORDIALS,Grande Absente Absinthe,750ML,71.99
325848,CHAMPAGNE/SPARKLING,Elk Run Methode Champenoise Sparkling Wine Chardonnay,750ML,22.99
93513,DOMESTIC BOTTLE,Mickey's Fine Malt Liquor - 24 Pack,12.0Z,28.99
47419,VODKA,Pinnacle Grape Vodka,1L,14.99
179248,ITALY,Fossi Rosso Sangiovese,750ML,6.99
340523,SPAIN/PORTUGAL,Guimaro Finca Meixeman Mencia,750ML,40.99
68659,DOMESTIC CAN,CAPTAIN LAWRENCE PASTRY DREAMS 6/4 16OZ CANS - 4 Pack,16.0Z,21.99
69509,IMPORTED CAN,PILSNER URQUELL 4/4PKS 16OZ CANS - 4 Pack,16.9Z,11.99
313139,OTHER WINE,Shimizu No Mai Pure Dawn Ginjo Junmai Sake,720ML,23.99
327022,ITALY,Folonari Valpolicella Valpolicella Blend,750ML,10.99
82805,AMERICAN WHITE,Beaulieu Vineyard Chardonnay,750ML,22.99
232422,AMERICAN RED,Zena Crown Vineyard Slope Single Vineyard Pinot Noir,750ML,107.99
42224,OTHER WINE,Teliani Valley Red Dry Saperavi,750ML,11.49
18104,CORDIALS,Barenjager Honey Liqueur,750ML,24.99
166336,SCOTCH,Cluny Blended Scotch Whisky,750ML,12.99
335737,VODKA,Sloop Betty Vodka,750ML,35.99
28493,DOMESTIC BOTTLE,Bud Light - 8 Pack,16.0Z,13.99
327987,AMERICAN RED,St. Francis Claret Bordeaux Blend,750ML,18.99
81209,FRANCE,Chateau Doisy Daene Barsac Semillon,750ML,52.99
345168,BRANDY/COGNAC/GRAPPA,Jacopo Poli Moscato Grappa,375ML,79.99
396940,ITALY,Cantina Gabriele Dolcemente   Semi Sweet Lazio IGT White Blend,750ML,12.99
336735,AMERICAN WHITE,Liberated Wine Free Spirit Sauvignon Blanc,750ML,15.49
322322,ARGENTINA,Mendoza Vineyards Unsung Hero Malbec,750ML,10.99
74227,BOURBON/RYE,Medley's Private Stock 10 Year Old Kentucky Straight Bourbon Whiskey,750ML,63.99
302121,VODKA,PInnacle Chocolate Whipped Vodka,750ML,11.99
313450,OTHER WINE,SWEET HEART SANGRIA,1.5L,11.99
44512,CORDIALS,Shakka Grape Liqueur,750ML,15.99
341360,NEW ZEALAND,Matakana Estate Sauvignon Blanc,750ML,14.49
85473,ITALY,Bottega Vinaia (Cavit) Estate Bottled Trentino DOC Pinot Grigio,750ML,17.99
83593,FRANCE,Louis Latour Bourgogne Rouge Pinot Noir,750ML,27.99
6971,IMPORTED BOTTLE,Unibroue La Fin Du Monde - 4 Pack,12.0Z,12.99
89281,AMERICAN RED,Mirassou Vineyards Merlot,750ML,11.69
70848,BOURBON/RYE,Spirits Of The Apocalypse The Walking Dead Kentucky Straight Bourbon Whiskey,750ML,31.99
16420,IRISH WHISKEY,Jameson Triple Distilled Irish Whiskey,375ML,17.99
418137,ARGENTINA,Los Ailos Syrah,750ML,10.99
308918,SOUTH AFRICA,Douglas Green The Beach House Rare Red Blend,750ML,9.49
69120,DOMESTIC BOTTLE,Negus Mama's Authentic Honey Tej Ale Mead,750ML,13.99
350878,ITALY,Marco Felluga Molamatta Bianco Collio Goriziano Rare White Blend,750ML,15.69
88812,MIXERS,Stirrings Simple Syrup,12.0Z,4.79
333409,AMERICAN RED,Hedges Family Estate CMS Red Blend,750ML,15.49
50997,CORDIALS,Baileys Original Irish Cream Liqueur,375ML,19.99
32026,GIN,Bombay Dry Gin,1.75L,31.99
70077,VODKA,Ivanabitch Dutch Apple Vodka,750ML,13.99
333234,AUSTRALIA,Jacob's Creek Reserve Cabernet Sauvignon,750ML,12.49
351546,SPAIN/PORTUGAL,Juve y Camps Reserva de la Familia Brut Nature Macabeo,1.5L,29.99
35483,VODKA,Aristocrat Vodka,1L,6.69
340766,ARGENTINA,Astica Cabernet Sauvignon,750ML,7.99
239600,VODKA,Grey Goose Vodka 50ML,50ML,4.99
24329,DOMESTIC CAN,Brooklyn Lager - 4 Pack,16.0Z,6.99
42069,CORDIALS,Leroux Triple Sec Liqueur,1L,4.99
300900,FRANCE,DOM DS CORBILLIERES TOUR S/BLC,750ML,12.99
13153,GERMANY,Chateau Ste. Michelle & Dr. Loosen Saint M Riesling,750ML,12.49
60887,CORDIALS,DeKuyper Creme De Cacao Dark Liqueur,1L,9.99
76830,AMERICAN WHITE,Horton Vineyards Viognier,750ML,23.99
8311,DOMESTIC BOTTLE,The Raven Special Lager - 6 Pack,12.0Z,12.99
22414,DOMESTIC BOTTLE,Abita Strawberry Lager - 6 Pack,12.0Z,11.99
74749,BOURBON/RYE,Barrell Bourbon Cask Strength 9 Year Old Straight Bourbon Whiskey,750ML,108.99
318618,SPAIN/PORTUGAL,Bodegas Ordonez Tineta Tinto Fino,750ML,15.99
358169,FRANCE,Maison de la Colline La Craie Pouilly Fume Sauvignon Blanc,750ML,28.99
242160,AMERICAN TABLE,Sweetland Cellars Zinberry Zinfandel,750ML,11.49
345176,VODKA,District Distilling Corridor Vodka,750ML,33.99
236936,ITALY,Luna Di Luna The Originals Vigneti Delle Dolomiti IGT Pinot Grigio,1.5L,18.99
